rep_n,trial_n,agent_type,a1,a2,stay,r,last_r,last_trans
1,25,MF,right,right,1,1,1,common
1,26,MF,right,right,1,0,1,rare
1,27,MF,right,left,1,0,0,common
1,28,MF,right,left,1,0,0,rare
1,29,MF,right,right,1,1,0,common
1,30,MF,right,right,1,1,1,rare
1,31,MF,right,right,1,1,1,common
1,32,MF,right,right,1,0,1,common
1,33,MF,right,right,1,1,0,common
1,34,MF,right,right,1,0,1,common
1,35,MF,right,left,1,1,0,common
1,36,MF,right,left,1,1,1,common
1,37,MF,right,left,1,0,1,common
1,38,MF,right,right,1,1,0,common
1,39,MF,right,right,1,1,1,common
1,40,MF,right,right,1,0,1,common
1,41,MF,left,right,0,1,0,common
1,42,MF,left,right,1,1,1,common
1,43,MF,right,right,0,1,1,common
1,44,MF,left,right,0,1,1,common
1,45,MF,left,right,1,1,1,common
1,46,MF,right,right,0,0,1,common
1,47,MF,left,left,0,1,0,common
1,48,MF,right,left,0,0,1,rare
1,49,MF,right,right,1,1,0,common
1,50,MF,left,right,0,1,1,common
1,51,MF,left,right,1,1,1,rare
1,52,MF,left,left,1,1,1,common
1,53,MF,right,right,0,1,1,common
1,54,MF,left,right,0,1,1,common
1,55,MF,left,right,1,0,1,common
1,56,MF,left,left,1,1,0,common
1,57,MF,left,right,1,0,1,common
1,58,MF,left,left,1,1,0,common
1,59,MF,right,left,0,1,1,common
1,60,MF,left,right,0,1,1,rare
1,61,MF,left,left,1,1,1,rare
1,62,MF,right,right,0,0,1,common
1,63,MF,right,left,1,1,0,common
1,64,MF,left,left,0,0,1,common
1,65,MF,left,left,1,0,0,common
1,66,MF,left,left,1,1,0,common
1,67,MF,right,left,0,1,1,rare
1,68,MF,left,left,0,0,1,rare
1,69,MF,left,left,1,1,0,common
1,70,MF,left,left,1,0,1,rare
1,71,MF,right,left,0,1,0,common
1,72,MF,right,left,1,1,1,common
1,73,MF,right,left,1,1,1,common
1,74,MF,right,left,1,1,1,common
1,75,MF,left,right,0,1,1,common
1,76,MF,right,left,0,1,1,rare
1,77,MF,right,left,1,0,1,common
1,78,MF,right,right,1,0,0,rare
1,79,MF,left,right,0,1,0,rare
1,80,MF,left,right,1,1,1,rare
1,81,MF,left,right,1,0,1,common
1,82,MF,left,left,1,1,0,rare
1,83,MF,left,left,1,0,1,rare
1,84,MF,right,right,0,0,0,rare
1,85,MF,left,right,0,0,0,rare
1,86,MF,right,left,0,0,0,rare
1,87,MF,right,right,1,1,0,rare
1,88,MF,left,left,0,1,1,rare
1,89,MF,right,left,0,1,1,rare
1,90,MF,left,right,0,1,1,common
1,91,MF,left,right,1,0,1,common
1,92,MF,right,left,0,1,0,common
1,93,MF,left,right,0,1,1,common
1,94,MF,right,left,0,0,1,common
1,95,MF,right,left,1,1,0,common
1,96,MF,left,right,0,1,1,common
1,97,MF,right,left,0,1,1,common
1,98,MF,left,right,0,1,1,common
1,99,MF,left,right,1,0,1,common
1,100,MF,right,left,0,1,0,common
1,101,MF,left,right,0,1,1,common
1,102,MF,right,right,0,0,1,common
1,103,MF,left,left,0,0,0,rare
1,104,MF,left,left,1,1,0,rare
1,105,MF,right,left,0,1,1,common
1,106,MF,left,left,0,0,1,rare
1,107,MF,left,right,1,0,0,rare
1,108,MF,right,right,0,1,0,rare
1,109,MF,right,right,1,1,1,rare
1,110,MF,right,left,1,1,1,common
1,111,MF,right,right,1,0,1,common
1,112,MF,left,left,0,0,0,rare
1,113,MF,right,right,0,1,0,common
1,114,MF,right,right,1,1,1,rare
1,115,MF,right,left,1,1,1,common
1,116,MF,left,left,0,1,1,common
1,117,MF,right,right,0,0,1,common
1,118,MF,left,right,0,0,0,common
1,119,MF,right,left,0,1,0,common
1,120,MF,left,left,0,1,1,common
1,121,MF,right,left,0,1,1,common
1,122,MF,right,left,1,1,1,common
1,123,MF,right,left,1,1,1,common
1,124,MF,right,left,1,1,1,common
1,125,MF,left,left,0,0,1,common
1,126,MF,right,left,0,0,0,rare
1,127,MF,right,left,1,1,0,common
1,128,MF,right,left,1,0,1,rare
1,129,MF,left,right,0,1,0,rare
1,130,MF,right,left,0,1,1,rare
1,131,MF,right,right,1,0,1,rare
1,132,MF,left,right,0,1,0,common
1,133,MF,right,left,0,1,1,rare
1,134,MF,left,left,0,0,1,rare
1,135,MF,right,right,0,0,0,common
1,136,MF,left,left,0,1,0,common
1,137,MF,left,left,1,0,1,rare
1,138,MF,left,right,1,1,0,rare
1,139,MF,right,right,0,0,1,common
