agent_type,rep_n,train_n,uncertainty
MF,1,28,0.20584579465083896
MF,1,29,0.20584579465013508
MF,1,30,0.20584579464989844
MF,1,31,0.20584579464989844
MF,1,32,0.2058457946498188
MF,1,33,0.20584579464979208
MF,1,34,0.2058457946497831
MF,1,35,0.20584579464978003
MF,1,36,0.205845794649779
MF,1,37,0.20584579464977867
MF,1,38,0.20584579464977867
MF,1,39,0.20584579464977854
MF,1,40,0.20584579464977848
MF,1,41,0.2058457946497785
MF,1,42,0.2058457946497785
MF,1,43,0.2058457946497785
MF,1,44,0.2058457946497785
MF,1,45,0.2058457946497785
MF,1,46,0.2058457946497785
MF,1,47,0.2058457946497785
MF,1,48,0.2058457946497785
MF,1,49,0.2058457946497785
MF,1,50,0.2058457946497785
MF,1,51,0.2058457946497785
MF,1,52,0.2058457946497785
MF,1,53,0.2058457946497785
MF,1,54,0.2058457946497785
MF,1,55,0.2058457946497785
MF,1,56,0.2058457946497785
MF,1,57,0.2058457946497785
MF,1,58,0.2058457946497785
MF,1,59,0.2058457946497785
MF,1,60,0.2058457946497785
MF,1,61,0.2058457946497785
MF,1,62,0.2058457946497785
MF,1,63,0.2058457946497785
MF,1,64,0.2058457946497785
MF,1,65,0.2058457946497785
MF,1,66,0.2058457946497785
MF,1,67,0.2058457946497785
MF,1,68,0.2058457946497785
MF,1,69,0.2058457946497785
MF,1,70,0.2058457946497785
MF,1,71,0.2058457946497785
MF,1,72,0.2058457946497785
MF,1,73,0.2058457946497785
MF,1,74,0.2058457946497785
MF,1,75,0.2058457946497785
MF,1,76,0.2058457946497785
MF,1,77,0.2058457946497785
MF,1,78,0.2058457946497785
MF,1,79,0.2058457946497785
MF,1,80,0.2058457946497785
MF,1,81,0.2058457946497785
MF,1,82,0.2058457946497785
MF,1,83,0.2058457946497785
MF,1,84,0.2058457946497785
MF,1,85,0.2058457946497785
MF,1,86,0.2058457946497785
MF,1,87,0.2058457946497785
MF,1,88,0.2058457946497785
MF,1,89,0.2058457946497785
MF,1,90,0.2058457946497785
MF,1,91,0.2058457946497785
MF,1,92,0.2058457946497785
MF,1,93,0.2058457946497785
MF,1,94,0.2058457946497785
MF,1,95,0.2058457946497785
MF,1,96,0.2058457946497785
MF,1,97,0.2058457946497785
MF,1,98,0.2058457946497785
MF,1,99,0.2058457946497785
MF,1,100,0.2058457946497785
MF,1,101,0.2058457946497785
